PortNumber,AccNumber,LocNumber,BuildingID,CountryCode,Latitude,Longitude,StreetAddress,AreaCode,OccupancyCode,ConstructionCode,YearBuilt,NumberOfStoreys,LocPerilsCovered,BuildingTIV,OtherTIV,ContentsTIV,BITIV,LocCurrency,LocDed6All,LocLimit6All,LocPeril,LocDedType6All,LocLimitType6All,LocGroup,OEDVersion
IDJB01,ACC001,ACC001-L011,1,ID,-6.21579,106.86136,168 Jalan Jakarta Pusat,31,1050,5100,2016,2,QEQ,808607.32,20596.47,206073.79,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L012,1,ID,-6.23117,106.93412,155 Jalan Jakarta Timur,31,1050,5100,1978,3,QEQ,575516.30,42125.29,283628.80,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L013,1,ID,-6.25181,107.12294,202 Jalan Cikarang,32,1050,5050,1985,2,QEQ,723227.07,38495.20,364093.46,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L014,1,ID,-6.85344,107.1266,49 Jalan Cianjur,32,1050,5100,2011,2,QEQ,672722.00,8119.82,222667.38,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L015,1,ID,-6.91542,107.60078,116 Jalan Bandung,32,1050,5100,2021,3,QEQ,263471.55,19358.88,66695.78,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L016,1,ID,-6.15206,106.86884,38 Jalan Jakarta Pusat,31,1050,5050,2016,2,QEQ,604702.90,4415.21,248918.29,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L017,1,ID,-6.22848,106.86512,130 Jalan Jakarta Timur,31,1050,5100,1994,2,QEQ,726451.69,79217.72,391537.75,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L018,1,ID,-6.23558,107.16084,111 Jalan Cikarang,32,1050,5100,1978,3,QEQ,577346.73,52182.13,259416.14,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L019,1,ID,-6.78557,107.14465,213 Jalan Cianjur,32,1050,5050,1985,2,QEQ,678934.85,49565.65,212402.42,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L020,1,ID,-6.89556,107.62201,69 Jalan Bandung,32,1050,5100,1985,2,QEQ,866320.47,44803.35,434353.83,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L021,1,ID,-6.19524,106.84327,40 Jalan Jakarta Pusat,31,1050,5100,2016,3,QEQ,201440.29,22333.41,74861.65,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L022,1,ID,-6.24711,106.86626,144 Jalan Jakarta Timur,31,1050,5050,1985,2,QEQ,870024.04,8136.23,329687.77,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC001,ACC001-L023,1,ID,-6.29427,107.13488,179 Jalan Cikarang,32,1050,5100,1985,2,QEQ,625236.55,11471.30,249651.96,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L024,1,ID,-6.80328,107.13239,9 Jalan Cianjur,32,1050,5100,2021,3,QEQ,393681.91,17357.68,205137.73,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L025,1,ID,-6.9357,107.61591,60 Jalan Bandung,32,1050,5050,2016,2,QEQ,828282.74,36555.19,313878.66,0.00,USD,0.00,0.00,QEQ,0,0,P32-1050,4.0.0
IDJB01,ACC001,ACC001-L026,1,ID,-6.18372,106.84539,119 Jalan Jakarta Pusat,31,1050,5100,2016,2,QEQ,618323.81,44520.46,305662.23,0.00,USD,0.00,0.00,QEQ,0,0,P31-1050,4.0.0
IDJB01,ACC002,ACC002-L001,1,ID,-6.3271,106.73238,132 Jalan Tangerang Selatan,36,1100,5050,1978,5,QEQ,8853832.89,331121.30,4677155.05,1734378.01,USD,389912.18,12477189.80,QEQ,0,0,P36-1100,4.0.0
IDJB01,ACC002,ACC002-L002,1,ID,-6.59738,106.84546,36 Jalan Bogor,32,1100,5100,2021,3,QEQ,16939963.20,1993657.99,8981482.13,1898432.51,USD,745338.40,23850828.67,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L003,1,ID,-6.57142,107.42842,103 Jalan Purwakarta,32,1100,5150,2021,12,QEQ,4855003.13,566261.18,2076394.18,1138495.53,USD,215903.85,6908923.21,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L004,1,ID,-6.78326,107.62535,105 Jalan Lembang,32,1100,5200,2003,6,QEQ,35871942.43,3294986.37,14155629.45,3951577.61,USD,1431853.40,45819308.69,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L005,1,ID,-6.11896,106.87647,190 Jalan Jakarta Utara,31,1100,5050,1985,5,QEQ,36668484.38,1752321.36,16270700.23,4703460.25,USD,1484874.16,47515972.98,QEQ,0,0,P31-1100,4.0.0
IDJB01,ACC002,ACC002-L006,1,ID,-6.26283,106.72531,55 Jalan Tangerang Selatan,36,1100,5100,2003,3,QEQ,15435251.88,1374754.64,7466592.52,4961085.10,USD,730942.10,23390147.31,QEQ,0,0,P36-1100,4.0.0
IDJB01,ACC002,ACC002-L007,1,ID,-6.60955,106.83796,66 Jalan Bogor,32,1100,5150,2003,12,QEQ,23664303.09,2699159.37,9015182.68,2970149.67,USD,958719.87,30679035.85,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L008,1,ID,-6.57699,107.47625,68 Jalan Purwakarta,32,1100,5200,2011,6,QEQ,26682514.68,1110332.69,7402102.92,10242384.65,USD,1135933.37,36349867.95,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L009,1,ID,-6.7877,107.60938,41 Jalan Lembang,32,1100,5050,2011,5,QEQ,20798153.48,1716174.51,5991292.13,4816948.15,USD,833064.21,26658054.62,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L010,1,ID,-6.08757,106.88616,133 Jalan Jakarta Utara,31,1100,5100,2011,3,QEQ,30364871.11,1670735.41,7760404.84,7975615.39,USD,1194290.67,38217301.39,QEQ,0,0,P31-1100,4.0.0
IDJB01,ACC002,ACC002-L011,1,ID,-6.27,106.73234,32 Jalan Tangerang Selatan,36,1100,5150,1994,12,QEQ,20385973.14,245863.31,5676315.17,2238315.68,USD,713661.68,22837173.83,QEQ,0,0,P36-1100,4.0.0
IDJB01,ACC002,ACC002-L012,1,ID,-6.62985,106.80055,101 Jalan Bogor,32,1100,5200,2003,6,QEQ,4811991.75,310343.70,1504230.93,936956.50,USD,189088.07,6050818.31,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L013,1,ID,-6.52617,107.43617,25 Jalan Purwakarta,32,1100,5050,1985,5,QEQ,7001519.68,819357.17,3083642.09,863585.96,USD,294202.62,9414483.92,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L014,1,ID,-6.80461,107.65158,61 Jalan Lembang,32,1100,5100,1985,3,QEQ,21029642.14,467067.99,6081846.77,6963334.34,USD,863547.28,27633512.99,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L015,1,ID,-6.09211,106.90943,136 Jalan Jakarta Utara,31,1100,5150,2011,12,QEQ,7469909.05,280760.46,3440145.64,2515339.20,USD,342653.86,10964923.47,QEQ,0,0,P31-1100,4.0.0
IDJB01,ACC002,ACC002-L016,1,ID,-6.26232,106.68411,108 Jalan Tangerang Selatan,36,1100,5200,1994,6,QEQ,20575641.30,812104.79,8193609.40,3543924.78,USD,828132.01,26500224.22,QEQ,0,0,P36-1100,4.0.0
IDJB01,ACC002,ACC002-L017,1,ID,-6.61858,106.79581,164 Jalan Bogor,32,1100,5050,1985,5,QEQ,36356636.34,3074519.19,15504068.09,10249060.03,USD,1629607.09,52147426.92,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L018,1,ID,-6.59042,107.45081,202 Jalan Purwakarta,32,1100,5100,1985,3,QEQ,35248091.48,541299.71,19271576.98,5841313.27,USD,1522557.04,48721825.15,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L019,1,ID,-6.82677,107.65155,82 Jalan Lembang,32,1100,5150,2016,12,QEQ,4447306.94,59180.83,2417547.17,1609977.00,USD,213350.30,6827209.55,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC002,ACC002-L020,1,ID,-6.10878,106.87295,190 Jalan Jakarta Utara,31,1100,5200,1994,6,QEQ,8109290.51,106483.59,3699142.81,1613117.50,USD,338200.86,10822427.53,QEQ,0,0,P31-1100,4.0.0
IDJB01,ACC002,ACC002-L021,1,ID,-6.31673,106.72004,177 Jalan Tangerang Selatan,36,1100,5050,1994,5,QEQ,10599436.63,852555.36,5146914.83,1660244.61,USD,456478.79,14607321.14,QEQ,0,0,P36-1100,4.0.0
IDJB01,ACC002,ACC002-L022,1,ID,-6.58208,106.7971,153 Jalan Bogor,32,1100,5100,2011,3,QEQ,7372528.87,589216.41,3722825.24,1706497.01,USD,334776.69,10712854.02,QEQ,0,0,P32-1100,4.0.0
IDJB01,ACC003,ACC003-L001,1,ID,-6.2587,107.12592,176 Jalan Cikarang,32,1150,5150,1994,2,QEQ,25393031.17,2865998.13,10005926.51,3912722.68,USD,1054441.96,33742142.79,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L002,1,ID,-6.81992,107.13041,99 Jalan Cianjur,32,1150,5200,1978,3,QEQ,21833264.97,442773.80,10387361.39,5752750.73,USD,960403.77,30732920.71,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L003,1,ID,-6.91575,107.61354,150 Jalan Bandung,32,1150,5150,1978,2,QEQ,26760510.10,466675.72,9839617.91,8964148.49,USD,1150773.81,36824761.78,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L004,1,ID,-6.1615,106.85753,217 Jalan Jakarta Pusat,31,1150,5200,1994,3,QEQ,13727655.75,572094.40,5927914.39,4636367.56,USD,621600.80,19891225.69,QEQ,0,0,P31-1150,4.0.0
IDJB01,ACC003,ACC003-L005,1,ID,-6.23071,106.86671,204 Jalan Jakarta Timur,31,1150,5150,1994,2,QEQ,34999560.60,2163953.79,15873811.19,9644549.48,USD,1567046.88,50145500.05,QEQ,0,0,P31-1150,4.0.0
IDJB01,ACC003,ACC003-L006,1,ID,-6.24417,107.12548,49 Jalan Cikarang,32,1150,5200,2021,3,QEQ,19658622.28,1719861.54,10088611.09,5430396.18,USD,922437.28,29517992.87,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L007,1,ID,-6.83746,107.13288,23 Jalan Cianjur,32,1150,5150,1978,2,QEQ,35831283.13,537621.34,14742118.04,11630704.12,USD,1568543.17,50193381.30,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L008,1,ID,-6.90555,107.62569,34 Jalan Bandung,32,1150,5200,2011,3,QEQ,9133685.01,899080.72,3431934.93,1693210.14,USD,378947.77,12126328.63,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L009,1,ID,-6.1611,106.85701,125 Jalan Jakarta Pusat,31,1150,5150,1978,2,QEQ,39592149.36,3447356.79,10720357.34,15545953.88,USD,1732645.43,55444653.90,QEQ,0,0,P31-1150,4.0.0
IDJB01,ACC003,ACC003-L010,1,ID,-6.24509,106.88493,201 Jalan Jakarta Timur,31,1150,5200,1994,3,QEQ,39457261.04,4253137.70,14939730.79,15501126.85,USD,1853781.41,59321005.10,QEQ,0,0,P31-1150,4.0.0
IDJB01,ACC003,ACC003-L011,1,ID,-6.25281,107.17081,154 Jalan Cikarang,32,1150,5150,2011,2,QEQ,10141611.26,1141486.47,4594973.03,3691194.54,USD,489231.63,15655412.24,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L012,1,ID,-6.81867,107.14456,151 Jalan Cianjur,32,1150,5200,1985,3,QEQ,12308542.86,578423.78,3300887.59,1675954.23,USD,446595.21,14291046.78,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L013,1,ID,-6.92429,107.64374,162 Jalan Bandung,32,1150,5150,2016,2,QEQ,22525311.76,2251666.04,12057478.90,3504759.52,USD,1008480.41,32271372.97,QEQ,0,0,P32-1150,4.0.0
IDJB01,ACC003,ACC003-L014,1,ID,-6.17692,106.82329,137 Jalan Jakarta Pusat,31,1150,5200,2003,3,QEQ,29589576.04,882068.86,12014456.05,3041736.26,USD,1138195.93,36422269.77,QEQ,0,0,P31-1150,4.0.0
IDJB01,ACC003,ACC003-L015,1,ID,-6.21324,106.9067,53 Jalan Jakarta Timur,31,1150,5150,2011,2,QEQ,11760703.96,533096.34,2972275.68,4082698.28,USD,483719.36,15479019.40,QEQ,0,0,P31-1150,4.0.0
IDJB01,ACC003,ACC003-L016,1,ID,-6.28305,107.1672,92 Jalan Cikarang,32,1150,5200,2016,3,QEQ,29009193.59,811311.60,13721692.01,8612784.71,USD,1303874.55,41723985.53,QEQ,0,0,P32-1150,4.0.0
